key_id,Job Number,Bin,ProfessionalCertificate,Filing Status,SignoffDate,House Number,Street Name,Community Board,Borough,Longitude,Latitude,Work Type Name,Filing Date,CPE Assigned Date,CPE Action Date,PE Assigned Date,First Objection Date,Latest Objections Date,Latest Resubmit Date,Plan Approved Date,Latest Permit Issued Date,Latest Permit Signed Off Date,Procert QA Supervisior Assigned Date,Procert QA Clerk Assigned Date,QA Failed Date,Job Type,Job Description
M00001099-I1_Fence,M00001099-I1,1000797,Yes,Permit Entire,,42,TRINITY PLACE,101,MANHATTAN,-74.01356,40.7074,Fence,12/14/2017,,,,,,,12/14/2017,2/26/2018,,12/14/2017,12/14/2017,,A2,"INSTALLATION OF PLYWOOD FENCE AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00067645-I1_Antenna,M00067645-I1,1000799,No,Objections,,46,TRINITY PLACE,101,MANHATTAN,-74.0134,40.70767,Antenna,8/13/2018,8/13/2018,8/14/2018,8/14/2018,8/15/2018,8/15/2018,,,,,,,,A2,"Install 3 new Verizon antennas on existing mounts on roof. All in conformance with TPPN 5/98. No change in use, egress, or occupancy."
M00025083-I1_Side_Walk_Shed,M00025083-I1,1000804,Yes,Permit Entire,,45,BROADWAY,101,MANHATTAN,-74.01327,40.70654,Side Walk Shed,3/14/2018,,,,,,,3/14/2018,3/14/2018,,3/14/2018,3/14/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00051911-I1_Side_Walk_Shed,M00051911-I1,1000805,Yes,Permit Entire,,47,BROADWAY,101,MANHATTAN,-74.01317,40.70667,Side Walk Shed,6/20/2018,,,,,,,6/21/2018,6/21/2018,,6/20/2018,6/20/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS.  NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION.  SIDEWALK SHED SHALL COMPLY WITH CHAPTER 33 OF THE 2014 NYC BUILDING CODE."
M00077967-I1_Fence,M00077967-I1,1000808,Yes,Permit Entire,,61,BROADWAY,101,MANHATTAN,-74.01284,40.7071,Fence,9/10/2018,,,,,,,9/11/2018,9/11/2018,,9/10/2018,9/10/2018,,A2,"Installation of temporary construction fence per plan submitted. Work shall comply with 2014 building codes chapter 33. No change in use, egress and/or occupancy with this application."
M00071088-I1_Side_Walk_Shed,M00071088-I1,1000809,Yes,Permit Entire,,65,BROADWAY,101,MANHATTAN,-74.01266,40.70733,Side Walk Shed,9/20/2018,,,,,,,9/21/2018,9/21/2018,,9/20/2018,9/20/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS FOR REMEDIAL REPAIRS.  NO CHANGE IN USE, OCCUPANCY OR EGRESS UNDER THIS APPLICATION.  SIDEWALK SHED SHALL COMPLY WITH CHAPTER 33 OF THE NYC 2014 BUILDING CODE."
M00041752-I1_Sign,M00041752-I1,1000810,Yes,Signed Off,7/3/2018,71,BROADWAY,101,MANHATTAN,-74.01251,40.70749,Sign,5/10/2018,,,,,,,5/10/2018,5/10/2018,6/15/2018,5/10/2018,5/10/2018,,A2,"Install a non-illuminated accessory business  sign on exterior wall. Wording: EUROPEAN WAX CENTER"
M00044410-I1_Antenna,M00044410-I1,1000812,No,Approved,,42,BROADWAY,101,MANHATTAN,-74.0126,40.70599,Antenna,5/24/2018,5/24/2018,5/25/2018,5/25/2018,5/25/2018,7/10/2018,7/17/2018,7/17/2018,,,,,,A2,"INSTALLATION OF NEW VERIZON EQUIPMENT ROOM IN BASEMENT, INSTALLATION OF RELATED CONDUIT ON 3RD, 9TH,15TH, 20TH FLOORS AND  INSTALLATION OF GPS UNITS ON ROOF.ALL IN CONFORMANCE WITH TPPN# 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00070662-I1_Side_Walk_Shed,M00070662-I1,1000824,Yes,Permit Entire,,25,BROAD STREET,101,MANHATTAN,-74.01077,40.70592,Side Walk Shed,9/5/2018,,,,,,,9/6/2018,9/6/2018,,9/5/2018,9/5/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00067368-I1_Sign,M00067368-I1,1000828,Yes,Permit Entire,,63,WALL STREET,101,MANHATTAN,-74.00878,40.70563,Sign,9/7/2018,,,,,,,9/11/2018,9/19/2018,,9/7/2018,9/7/2018,,A2,"NON ILLUMINATED NON ADVERTISING DOUBLE FACED PROJECTING ACCESSORY BANNER SIGN - W LUXURY RENTALS. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00000786-I1_Scaffold,M00000786-I1,1000830,Yes,Permit Entire,,20,EXCHANGE PLACE,101,MANHATTAN,-74.00957,40.70546,Scaffold,10/18/2017,,,,,,,10/25/2017,2/27/2018,,10/18/2017,10/18/2017,10/24/2017,A2,"PIPE SCAFFOLD PROPOSED INSTALLATION OF PIPE SCAFFOLD AS PER PLAN NO CHANGE IN USE, OCCUPANCY OF EGRESS UNDER THIS APPLICATION."
M00049589-I1_Scaffold,M00049589-I1,1000849,Yes,Permit Entire,,75,BROAD STREET,101,MANHATTAN,-74.01124,40.70468,Scaffold,6/7/2018,,,,,,,6/8/2018,6/8/2018,,6/7/2018,6/7/2018,,A2,"INSTALLATION OF  PIPE SCAFFOLD AS PER PLANS. PIPE SCAFFOLD SHALL COMPLY WITH CHAPTER #33 OF THE 2014 CODE NO CHANGE TO USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION"
M00034433-I1_Fence,M00034433-I1,1000851,Yes,Permit Entire,,26,SOUTH WILLIAM STREET,101,MANHATTAN,-74.0108,40.70469,Fence,4/11/2018,,,,,,,4/13/2018,4/13/2018,,4/11/2018,4/12/2018,4/13/2018,A2,"Install new temporary construction fence."
M00007712-I1_Sign,M00007712-I1,1000860,Yes,Signed Off,2/15/2018,126,PEARL STREET,101,MANHATTAN,-74.0086,40.70481,Sign,1/19/2018,,,,,,,1/19/2018,1/31/2018,,1/19/2018,1/19/2018,,A2,"INSTALL NON-ILLUMINATED SIGN ON WALL (BARCLAY REX)"
M00002012-I1_Sign,M00002012-I1,1000880,Yes,Signed Off,2/9/2018,80,PINE STREET,101,MANHATTAN,-74.0068,40.70615,Sign,1/26/2018,,,,,,,1/30/2018,2/6/2018,,1/26/2018,1/26/2018,,A2,"NON ILLUMINATED NON ADVERTISING ACCESSORY DOUBLE FACED PROJECTING BANNER SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00035716-I1_Side_Walk_Shed,M00035716-I1,1000881,Yes,Permit Entire,,126,WATER STREET,101,MANHATTAN,-74.00723,40.70558,Side Walk Shed,4/20/2018,,,,,,,4/20/2018,4/20/2018,,4/20/2018,4/20/2018,4/20/2018,A2,"INSTALLATION OF TEMPORARY SIDEWALK SHED AS PER PLAN SUBMITTED. WORK SHALL COMPLY WITH 2014 BUILDING CODES CHAPTER 33. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00061625-I1_Sign,M00061625-I1,1001007,Yes,Permit Entire,,70,PINE STREET,101,MANHATTAN,-74.00772,40.70646,Sign,8/1/2018,,,,,,,8/1/2018,8/2/2018,,8/1/2018,8/1/2018,,A2,"NON ILLUMINATED NON ADVERTISING DOUBLE FACE PROJECTING ACCESSORY SIGN - BLUE PARK KITCHEN. NO CHANGE OF USE, EGRESS OR OCCUPANCY."
M00058040-I1_Sign,M00058040-I1,1001014,Yes,Approved,,100,MAIDEN LANE,101,MANHATTAN,-74.00722,40.70672,Sign,9/24/2018,,,,,,,9/25/2018,,,9/24/2018,9/24/2018,,A2,"INSTALLATION OF NON-ILLUMINATED WALL SIGN (CHIPOTLE)"
M00047869-I1_Scaffold,M00047869-I1,1001022,Yes,Permit Entire,,20,PINE STREET,101,MANHATTAN,-74.00974,40.70773,Scaffold,5/31/2018,,,,,,,6/1/2018,6/1/2018,,5/31/2018,5/31/2018,,A2,"INSTALLATION OF PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00049723-I1_Scaffold,M00049723-I1,1001023,Yes,Permit Entire,,2,WALL STREET,101,MANHATTAN,-74.01133,40.70773,Scaffold,6/17/2018,,,,,,,7/31/2018,7/31/2018,,6/17/2018,6/18/2018,6/28/2018,A2,"INSTALLATION OF TEMPORARY SUPPORTED PIPE SCAFFOLD AS SHOWN ON PLANS. WORK SHALL COMPLY WITH 2014 BUILDING CODE CHAPTER 33. NO CHANGE IN USE EGRESS OR OCCUPANCY UNDER THIS APPLICATION"
M00020199-I1_Scaffold,M00020199-I1,1001025,Yes,Permit Entire,,14,WALL STREET,101,MANHATTAN,-74.01076,40.70763,Scaffold,3/1/2018,,,,,,,3/1/2018,3/1/2018,,3/1/2018,3/1/2018,,A2,"PIPE SCAFFOLD PROPOSED INSTALLATION OF PIPE SCAFFOLD AS PER  PLAN. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00074586-I1_Scaffold,M00074586-I1,1001028,Yes,Permit Entire,,75,BROADWAY,101,MANHATTAN,-74.01206,40.70815,Scaffold,8/28/2018,,,,,,,8/28/2018,8/28/2018,,8/28/2018,8/28/2018,,A2,"Installation of steel pipe scaffold as per plans. No change in use, egress, or occupancy."
M00003329-I1_Scaffold,M00003329-I1,1001031,Yes,Permit Entire,,2,RECTOR STREET,101,MANHATTAN,-74.01317,40.70809,Scaffold,12/1/2017,,,,,,,12/4/2017,12/4/2017,,12/1/2017,12/1/2017,,A2,"INSTALLATION OF STEEL PIPE SCAFFOLD AS PER PLANS.  NO CHANGE IN EGRESS, USE, OR OCCUPANCY.  SCAFFOLD TO COMPLY WITH 2014 NYC BUILDING CODE."
M00055361-I1_Scaffold,M00055361-I1,1001032,Yes,QA Failed,,68,TRINITY PLACE,101,MANHATTAN,-74.01298,40.70841,Scaffold,7/18/2018,,,,,,,,,,7/18/2018,7/18/2018,7/18/2018,A2,"INSTALLATION OF MEDIUM DUTY PIPE SCAFFODING AS PER PLANS.  PIPE SCAFFOLDING SHALL COMPLY WITH CHAPTER 33 OF THE 2014 NYC BUILDING CODE.  NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION."
M00078152-I1_Side_Walk_Shed,M00078152-I1,1001033,Yes,Permit Entire,,86,TRINITY PLACE,101,MANHATTAN,-74.01283,40.70876,Side Walk Shed,9/11/2018,,,,,,,9/11/2018,9/11/2018,,9/11/2018,9/11/2018,,A2,"INSTALLATION OF TEMPORARY HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE.LIVE LOAD 300PSF."
M00001180-I1_Fence,M00001180-I1,1001036,Yes,Permit Entire,,74,TRINITY PLACE,101,MANHATTAN,-74.01298,40.70841,Fence,10/26/2017,,,,,,,10/26/2017,3/22/2018,,10/26/2017,10/26/2017,,A2,"INSTALLATION OF PLYWOOD FENCE AS PER PLANS. ONE SECTION OF THE FENCE IS ON THE ROADWAY AND SHALL BE PERMITTED AT D.O.T. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00001983-I1_Sign,M00001983-I1,1001053,Yes,Permit Entire,,106,GREENWICH STREET,101,MANHATTAN,-74.01367,40.70854,Sign,11/28/2017,,,,,,,11/28/2017,1/18/2018,9/19/2018,11/28/2017,11/28/2017,,A2,"NON ILLUMINATE BUSINESS ACCESSORY WALL SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY"
M00075097-I1_Side_Walk_Shed,M00075097-I1,1001060,Yes,Permit Entire,,75,WEST STREET,101,MANHATTAN,-74.0145,40.70902,Side Walk Shed,9/18/2018,,,,,,,9/19/2018,9/19/2018,,9/18/2018,9/18/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00001019-I1_Fence,M00001019-I1,1001074,Yes,Permit Entire,,183,BROADWAY,101,MANHATTAN,-74.00994,40.71029,Fence,10/30/2017,,,,,,,10/30/2017,6/22/2018,,10/30/2017,10/30/2017,,A2,"Installation of construction fence per plan submitted, work shall comply with 2014 building codes chapter 33. No change in use, egress and/or occupancy."
M00039817-I1_Sign,M00039817-I1,1001080,Yes,Signed Off,5/31/2018,22,MAIDEN LANE,101,MANHATTAN,-74.00912,40.70911,Sign,5/4/2018,,,,,,,5/5/2018,5/5/2018,5/30/2018,5/4/2018,5/4/2018,,A2,"Install one non-illuminated, accessory, business sign.  Wording: THE KATI ROLL CO."
M00071980-I1_Scaffold,M00071980-I1,1001087,Yes,Permit Entire,,150,BROADWAY,101,MANHATTAN,-74.01007,40.70918,Scaffold,8/28/2018,,,,,,,8/30/2018,8/30/2018,,8/28/2018,8/29/2018,,A2,"Installation of Pipe Scaffold as per plans."
M00045222-I1_Side_Walk_Shed,M00045222-I1,1001088,Yes,Permit Entire,,170,BROADWAY,101,MANHATTAN,-74.00983,40.70953,Side Walk Shed,5/31/2018,,,,,,,6/2/2018,7/26/2018,,5/31/2018,5/31/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00080713-I1_Sign,M00080713-I1,1001097,Yes,Approved,,18,JOHN STREET,101,MANHATTAN,-74.00903,40.70953,Sign,9/26/2018,,,,,,,9/27/2018,,,9/26/2018,9/27/2018,,A2,"NON ILLUMINATED NON ADVERTISING ACCESSORY WALL SIGN - Q B TOKYO HOUSE. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00025690-I1_Side_Walk_Shed,M00025690-I1,1001098,Yes,Signed Off,8/22/2018,11,MAIDEN LANE,101,MANHATTAN,-74.00926,40.70966,Side Walk Shed,3/12/2018,,,,,,,3/14/2018,3/26/2018,8/20/2018,3/12/2018,3/12/2018,,A2,"Installation of temporary sidewalk shed per plan submitted. Work shall comply with 2014 building codes chapter 33. No change in use, egress and/or occupancy with this application."
M00072919-I1_Sign,M00072919-I1,1001099,Yes,Permit Entire,,174,BROADWAY,101,MANHATTAN,-74.00973,40.7098,Sign,8/23/2018,,,,,,,8/24/2018,8/24/2018,9/26/2018,8/23/2018,8/23/2018,,A2,"NON ILLUMINATED BUSINESS ACCESSORY WALL SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY"
M00041741-I1_Side_Walk_Shed,M00041741-I1,1001109,Yes,Permit Entire,,33,MAIDEN LANE,101,MANHATTAN,-74.00848,40.70912,Side Walk Shed,5/8/2018,,,,,,,5/9/2018,5/9/2018,,5/8/2018,5/8/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED DURING BUILDING ALTERATION, FILED SEPARATELY. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY OR EGRESS UNDER THIS APPLICATION."
M00071110-I1_Antenna,M00071110-I1,1001111,No,Permit Entire,,83,MAIDEN LANE,101,MANHATTAN,-74.00736,40.70754,Antenna,9/24/2018,9/24/2018,9/25/2018,9/25/2018,,,,9/25/2018,9/25/2018,,,,,A2,"Modification to existing Verizon telecommunications site. Replace 3 antennas on roof. All in conformance with TPPN 5/98. No change in use, egress, or occupancy."
M00032341-I1_Scaffold,M00032341-I1,1001116,Yes,Permit Entire,,100,WILLIAM STREET,101,MANHATTAN,-74.0072,40.70835,Scaffold,4/15/2018,,,,,,,4/16/2018,5/15/2018,,4/15/2018,4/16/2018,,A2,"INSTALLATION OF PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00079229-I1_Side_Walk_Shed,M00079229-I1,1001129,Yes,Permit Entire,,102,JOHN STREET,101,MANHATTAN,-74.00611,40.70759,Side Walk Shed,9/17/2018,,,,,,,9/20/2018,9/25/2018,,9/17/2018,9/17/2018,9/18/2018,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00042728-I1_Antenna,M00042728-I1,1001134,No,Permit Entire,,180,WATER STREET,101,MANHATTAN,-74.00554,40.707,Antenna,6/14/2018,6/14/2018,6/14/2018,6/14/2018,6/14/2018,6/14/2018,7/10/2018,7/11/2018,7/16/2018,,,,,A2,"AT&T / Replacement of existing RRH units on roof. Removal and installation of equipment cabinets in the existing equipment platform on roof. All work in compliance with TPPN 5/98. No change to occupancy, use, or egress."
M00026070-I1_Side_Walk_Shed,M00026070-I1,1001135,Yes,Permit Entire,,160,WATER STREET,101,MANHATTAN,-74.00588,40.7068,Side Walk Shed,3/14/2018,,,,,,,3/14/2018,7/26/2018,,3/14/2018,3/14/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00027971-P1_Side_Walk_Shed,M00027971-P1,1001136,Yes,Approved,,160,FRONT STREET,101,MANHATTAN,-74.00557,40.70608,Side Walk Shed,4/4/2018,,,,,,,4/4/2018,,,4/4/2018,4/4/2018,,A2,"PROPOSED INSTALLATION OF HEAVY DUTY SIDEWALK SHED FOR REMEDIAL REPAIRS AS PER PLANS. NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION. LIVE LOAD 300 PER SQUARE FEET. SIDEWALK SHED SHALL COMPLY WITH CHAPTER # 33 OF THE 2014 CODE."
M00052169-P1_Side_Walk_Shed,M00052169-P1,1001137,Yes,Approved,,175,WATER STREET,101,MANHATTAN,-74.00513,40.70636,Side Walk Shed,6/29/2018,,,,,,,7/2/2018,,,6/29/2018,6/29/2018,7/2/2018,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED DURING BUILDING ALTERATION, FILED SEPARATELY. 50 PSF STORAGE OF MATERIAL PERMITTED ON HEAVY DUTY SIDEWALK SHED. SIDEWALK SHED SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY OR EGRESS UNDER THIS APPLICATION."
M00067665-I1_Sign,M00067665-I1,1001162,Yes,Permit Entire,,190,FRONT STREET,101,MANHATTAN,-74.00437,40.70686,Sign,8/7/2018,,,,,,,8/8/2018,8/13/2018,,8/7/2018,8/7/2018,,A2,"NON ILLUMINATED NON ADVERTISING ACCESSORY WALL SIGN - LOBSTER GO GO - INSIDE PROPERTY LINE. NO CHANGE TO USE, EGRESS OR OCCUPANCY."
M00013307-I1_Side_Walk_Shed,M00013307-I1,1001164,Yes,Permit Entire,,135,JOHN STREET,101,MANHATTAN,-74.00495,40.70713,Side Walk Shed,1/23/2018,,,,,,,1/24/2018,2/28/2018,,1/23/2018,1/23/2018,,A2,"SIDEWALK SHED PROPOSED INSTALLATION OF SIDEWALK SHED AS PER PLAN NO CHANGE IN USE, OCCUPANCY OF EGRESS UNDER THIS APPLICATION."
M00068652-I1_Antenna,M00068652-I1,1001176,No,Permit Entire,,64,FULTON STREET,101,MANHATTAN,-74.00535,40.70873,Antenna,8/17/2018,8/17/2018,8/20/2018,8/20/2018,8/20/2018,8/20/2018,8/24/2018,8/28/2018,8/28/2018,,,,,A2,"MODIFICATION TO THE EXISTING TELECOMMUNICATIONS FACILITY. REPLACEMENT OF THREE (3) EXISTING VERIZON PANEL ANTENNAS ON THE ROOF. ALL IN CONFORMANCE OF TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY."
M00045526-I1_Scaffold,M00045526-I1,1001186,Yes,Signed Off,8/22/2018,110,WILLIAM STREET,101,MANHATTAN,-74.00674,40.70877,Scaffold,5/29/2018,,,,,,,5/29/2018,5/29/2018,,5/29/2018,5/29/2018,,A2,"INSTALLATION OF PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00048624-I1_Sign,M00048624-I1,1001196,Yes,Permit Entire,,102,FULTON STREET,101,MANHATTAN,-74.00685,40.70955,Sign,7/3/2018,,,,,,,7/3/2018,7/6/2018,,7/3/2018,7/3/2018,,A2,"INSTALL ILLUMINATED SIGN ON WALL (VERIZON)"
M00070346-I1_Side_Walk_Shed,M00070346-I1,1001205,Yes,Permit Entire,,90,NASSAU STREET,101,MANHATTAN,-74.00771,40.71007,Side Walk Shed,8/14/2018,,,,,,,8/14/2018,8/14/2018,,8/14/2018,8/14/2018,,A2,"INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
M00032849-I1_Fence,M00032849-I1,1001214,Yes,Permit Entire,,75,NASSAU STREET,101,MANHATTAN,-74.00839,40.70987,Fence,4/19/2018,,,,,,,5/9/2018,5/9/2018,,4/19/2018,4/19/2018,4/25/2018,A2,"INSTALLATION OF CONSTRUCTION FENCE AS PER PLANS."
M00041186-I1_Side_Walk_Shed,M00041186-I1,1001215,Yes,Permit Entire,,71,NASSAU STREET,101,MANHATTAN,-74.0085,40.70975,Side Walk Shed,5/4/2018,,,,,,,5/7/2018,5/7/2018,,5/4/2018,5/4/2018,5/5/2018,A2,"installation of sidewalk shed as per plans. no change in use, egress, or occupancy."
